cod_titulo,titulo,locacao,valor,qtde_tot,qtde_disp,cod_grupo,cod_estilo
299,"Axé Bahia","24",,1,1,6,39
300,"Daiela Mercury","24",,1,1,6,39
301,"Personalidade","24",,1,1,6,39
302,"Personalidade","24",,1,1,6,39
303,"O Canto da Cidade","24",,1,1,6,39
304,"O Farol","24",,1,1,6,39
305,"Êta Bahia Porrêta","24",,1,1,6,39
306,"Chiclete com Banana","24",,1,1,6,39
307,"Hora H","24",,1,1,6,39
308,"Menina dos Olhos","24",,3,2,6,39
309,"Alegre","24",,1,1,6,39
310,"O Somtropical do Brasil 3","24",,1,1,6,39
311,"Netinho","24",,2,2,6,39
312,"Morena","24",,1,1,6,39
313,"Gente de Festa","24",,1,1,6,39
314,"Agitando Todas","24",,2,2,6,39
315,"Se Ligue","24",,1,1,6,39
316,"Rituais","24",,1,1,6,39
317,"Amor de Bahia","24",,1,1,6,39
318,"Dança da Multidão","24",,1,1,6,39
319,"Todo Mundo Dança","24",,2,2,6,39
320,"Luz","24",,1,1,6,39
321,"Segredos","24",,1,1,6,39
322,"Arrebenta de Novo","24",,2,1,6,39
323,"Rum Bragadá","24",,1,1,6,39
324,"Andei Road","24",,2,2,6,39
325,"A La Dorá","24",,1,1,6,39
326,"Banda Eva","24",,1,1,6,39
327,"Sol e Mar","24",,1,1,6,39
328,"Minha História","24",,1,1,6,39
329,"Um Beijo Pra Você","24",,1,1,6,39
330,"Mineral","24",,2,2,6,39
331,"Axé Bahia 96","24",,3,1,6,39
332,"Embalo a Dois","24",,1,1,6,39
333,"A Lenda","24",,1,1,6,39
334,"Suingue","24",,1,1,6,39
335,"É Ouro ","24",,1,1,6,39
336,"Coração de Oxalá","24",,1,1,6,39
337,"Papa Léguas","24",,1,1,6,39
338,"O Bicho!","24",,1,1,6,39
339,"Salada de Frutas","24",,1,1,6,39
340,"Bárbara","24",,1,1,6,39
341,"Axé Band","24",,1,1,6,39
342,"Prefixo de Verão","24",,1,1,6,39
343,"Quero Fazer Amor com Você","24",,1,1,6,39
344,"Força, Luz e Poder","24",,1,1,6,39
345,"Dose Dupla","24",,1,1,6,39
346,"Dose Dupla","24",,1,1,6,39
347,"Bragadá","24",,1,1,6,39
348,"Alfagamabetizado","24",,2,2,6,39
349,"Jheremias Não Bate Corner","24",,1,1,6,39
350,"Axé Caê","24",,1,1,6,39
351,"É Demais Meu Rei","24",,2,2,6,39
352,"Feijão com Arroz","24",,1,1,6,39
353,"Milla","24",,1,1,6,39
354,"Marcia Freire","24",,2,2,6,39
355,"Netinho - Ao Vivo","24",,3,3,6,39
356,"Para Ti","24",,2,2,6,39
357,"Na Cabeça e Na Cintura","24",,5,4,6,39
358,"Dividindo Alegria","24",,2,2,6,39
359,"Alegria","24",,1,1,6,39
360,"Micareta 96 Rio Elétrico","24",,2,2,6,39
361,"Jheremmias","24",,1,1,6,39
362,"Na Dança do Strip-Tease","24",,2,2,6,39
363,"Beleza Rara","24",,2,2,6,39
