cod_interprete,interprete
211,"Chá de Hortelã Vol 4"
212,"Redondo e Rita de Cássia"
213,"Trio Nordestino"
214,"Só Solo"
215,"Carlos Rilmar"
216,"Anjos e Demônios II"
217,"Petrúcio Amorim"
218,"Sirano"
219,"Fabiana"
220,"Xamego de Menina"
221,"Som Maior"
222,"Banda Magia"
223,"Pimenta do Reino"
224,"Novinho da Paraíba"
225,"Viva a Noite"
226,"Jorge de Altinho"
227,"Circuito Musical"
228,"Forró Lotado"
229,"Eliane"
230,"Forró Maior"
231,"Cebola Ralada"
232,"Catuaba com Amendoim"
233,"Mexe Ville"
234,"Quenga de Coco"
235,"Xamego de Menina"
236,"Dominguinhos e Convidados"
237,"Dominguinhos e Convidados 2"
238,"Aquárius"
239,"Pífanos de Caruaru"
240,"Jackson do Pandeiro"
241,"Delírius"
242,"Baby Som Vol IV"
243,"Nando Cordel"
244," Jacksom do Pandeiro"
245,"Flor de Cheiro"
246,"Capital do Sol"
247,"Flor da Terra"
248,"Café com Leite"
249,"Baby Som"
250,"Frank Aguiar"
251,"Mastruz com Leite"
252,"Calango Aceso"
253,"Os Arretados"
254,"Alcymar Monteiro"
255,"Mastruz com Leite"
256,"Mastruz com Leite"
257,"Mastruz com Leite"
258,"Styllus"
259,"Cavalo de Pau"
260,"Nando Cordel"
261,"Brucelose"
262,"Anjos e Demônios"
263,"Ratinho"
264,"Barraca do Gonzagão"
265,"Flávio José"
266,"Limão com Mel"
267,"Mastruz com Leite"
268,"Capim e Canela"
269,"Caviar com Rapadura"
270,"Alceu Valença"
271,"Piky com Sal"
272,"Magnificos"
273,"Cheiro de Amor"
274,"Asa de Águia"
275,"Olodum"
276,"Ricardo Chaves "
277,"Timbalada"
278,"Mel com Terra"
279,"Calcinha Preta"
280,"Frank Aguiar"
281,"Baby Som"
282,"Luíz Fidélis e Banda Cachorra da Mulesta"
283,"Chiclete com Banana"
284,"Chiclete com Banana"
285,"Luiz Caldas"
286,"Pimenta Nativa"
287,"Ara Ketu"
288,"Bamda Mel"
289,"Daiela Mercury"
290,"Simone Moreno"
291,"Cheiro de Amor "
292,"Cheiro de Amor"
293,"Pimenta Nativa"
294,"Banda Eva"
295,"Luiz Caldas"
296,"Tonho Matéria"
297,"Olodum"
298,"Ara Ketu"
299,"Axé Bahia"
300,"Daniela Mercury"
301,"Cheiro de Amor"
302,"Banda Beijo"
303,"Daniela Mercury"
304,"Banda Feras"
305,"Banda de Maçã"
